Date,State,Regular Gas Price,Midgrade Gas Price,Premium Gas Price,Diesel Gas Price
02/24/2022,Alaska,3.873,4.018,4.199,3.931
02/24/2022,Alabama,3.291,3.626,3.958,3.841
02/24/2022,Arkansas,3.202,3.508,3.794,3.671
02/24/2022,Arizona,3.747,4.034,4.29,3.973
02/24/2022,California,4.771,4.957,5.085,5.037
02/24/2022,Colorado,3.356,3.685,3.979,3.616
02/24/2022,Connecticut,3.68,3.964,4.179,4.053
02/24/2022,District of Columbia,3.747,4.223,4.363,4.084
02/24/2022,Delaware,3.589,3.955,4.191,3.999
02/24/2022,Florida,3.484,3.848,4.145,3.933
02/24/2022,Georgia,3.398,3.734,4.065,3.925
02/24/2022,Hawaii,4.542,4.75,5.002,4.829
02/24/2022,Iowa,3.348,3.481,3.895,3.749
02/24/2022,Idaho,3.531,3.728,3.934,4.063
02/24/2022,Illinois,3.712,4.066,4.453,3.905
02/24/2022,Indiana,3.365,3.694,4.016,3.954
02/24/2022,Kansas,3.254,3.511,3.756,3.678
02/24/2022,Kentucky,3.222,3.552,3.862,3.808
02/24/2022,Louisiana,3.312,3.628,3.936,3.708
02/24/2022,Massachusetts,3.562,3.841,4.062,4.002
02/24/2022,Maryland,3.585,3.981,4.229,4.003
02/24/2022,Maine,3.559,3.84,4.096,4.097
02/24/2022,Michigan,3.359,3.686,4.019,3.879
02/24/2022,Minnesota,3.418,3.649,3.972,3.821
02/24/2022,Missouri,3.224,3.47,3.74,3.601
02/24/2022,Mississippi,3.209,3.514,3.833,3.666
02/24/2022,Montana,3.449,3.707,3.955,3.777
02/24/2022,North Carolina,3.474,3.81,4.136,3.961
02/24/2022,North Dakota,3.392,3.619,3.83,3.832
02/24/2022,Nebraska,3.346,3.446,3.812,3.704
02/24/2022,New Hampshire,3.497,3.801,4.062,4.014
02/24/2022,New Jersey,3.621,3.971,4.14,4.054
02/24/2022,New Mexico,3.484,3.796,4.048,3.853
02/24/2022,Nevada,3.977,4.205,4.395,4.075
02/24/2022,New York,3.759,4.047,4.282,4.214
02/24/2022,Ohio,3.325,3.648,3.972,3.958
02/24/2022,Oklahoma,3.212,3.484,3.697,3.553
02/24/2022,Oregon,4.0,4.171,4.373,4.191
02/24/2022,Pennsylvania,3.74,4.056,4.328,4.296
02/24/2022,Rhode Island,3.555,3.889,4.129,3.996
02/24/2022,South Carolina,3.37,3.721,4.042,3.865
02/24/2022,South Dakota,3.407,3.5,3.847,3.782
02/24/2022,Tennessee,3.304,3.641,3.964,3.845
