Date,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
02/24/2022,3.873,3.291,3.202,3.747,4.771,3.356,3.68,3.747,3.589,3.484,3.398,4.542,3.348,3.531,3.712,3.365,3.254,3.222,3.312,3.562,3.585,3.559,3.359,3.418,3.224,3.209,3.449,3.474,3.392,3.346,3.497,3.621,3.484,3.977,3.759,3.325,3.212,4.0,3.74,3.555,3.37,3.407,3.304,3.213,3.403,3.412,3.608,3.986,3.296,3.33,3.421
02/25/2022,3.881,3.318,3.217,3.793,4.793,3.368,3.708,3.763,3.597,3.502,3.456,4.55,3.385,3.535,3.771,3.376,3.314,3.234,3.334,3.597,3.586,3.584,3.435,3.439,3.279,3.233,3.454,3.519,3.397,3.381,3.533,3.636,3.486,3.996,3.777,3.33,3.236,4.011,3.746,3.577,3.432,3.42,3.365,3.243,3.401,3.426,3.621,3.992,3.33,3.333,3.432
02/26/2022,3.879,3.346,3.231,3.817,4.811,3.373,3.719,3.773,3.611,3.518,3.491,4.555,3.401,3.536,3.828,3.474,3.356,3.245,3.353,3.611,3.598,3.6,3.525,3.451,3.315,3.255,3.464,3.543,3.401,3.409,3.545,3.646,3.494,4.013,3.795,3.333,3.272,4.024,3.752,3.587,3.463,3.436,3.417,3.272,3.405,3.436,3.632,4.0,3.353,3.342,3.436
02/27/2022,3.887,3.356,3.235,3.813,4.82,3.374,3.723,3.771,3.606,3.519,3.501,4.548,3.397,3.537,3.847,3.517,3.364,3.251,3.365,3.618,3.6,3.606,3.553,3.453,3.32,3.26,3.466,3.548,3.4,3.407,3.547,3.652,3.495,4.019,3.802,3.333,3.278,4.024,3.753,3.587,3.474,3.437,3.436,3.278,3.404,3.438,3.635,4.003,3.357,3.344,3.445
02/28/2022,3.887,3.356,3.235,3.813,4.82,3.374,3.723,3.771,3.606,3.519,3.501,4.548,3.397,3.537,3.847,3.517,3.364,3.251,3.365,3.618,3.6,3.606,3.553,3.453,3.32,3.26,3.466,3.548,3.4,3.407,3.547,3.652,3.495,4.019,3.802,3.333,3.278,4.024,3.753,3.587,3.474,3.437,3.436,3.278,3.404,3.438,3.635,4.003,3.357,3.344,3.445
03/01/2022,3.901,3.364,3.243,3.821,4.837,3.387,3.731,3.79,3.606,3.516,3.507,4.565,3.404,3.549,3.868,3.546,3.381,3.291,3.383,3.63,3.603,3.624,3.57,3.457,3.337,3.268,3.482,3.552,3.408,3.417,3.557,3.657,3.533,4.037,3.812,3.411,3.295,4.033,3.756,3.597,3.48,3.442,3.455,3.284,3.473,3.442,3.649,4.01,3.377,3.367,3.443
03/02/2022,3.935,3.399,3.274,3.833,4.866,3.411,3.756,3.815,3.705,3.573,3.534,4.605,3.434,3.559,3.926,3.61,3.397,3.352,3.415,3.658,3.678,3.663,3.62,3.484,3.364,3.301,3.499,3.569,3.443,3.457,3.594,3.685,3.593,4.069,3.845,3.544,3.312,4.082,3.79,3.624,3.499,3.474,3.483,3.309,3.497,3.492,3.673,4.039,3.411,3.421,3.455
03/03/2022,4.036,3.473,3.336,3.897,4.94,3.474,3.84,3.889,3.772,3.618,3.601,4.632,3.476,3.618,4.022,3.724,3.431,3.469,3.481,3.725,3.754,3.713,3.741,3.534,3.403,3.376,3.546,3.65,3.497,3.513,3.662,3.754,3.631,4.132,3.929,3.629,3.363,4.163,3.879,3.71,3.576,3.501,3.563,3.376,3.566,3.582,3.741,4.109,3.451,3.511,3.502
03/04/2022,4.18,3.618,3.447,3.977,5.074,3.594,3.972,3.961,3.894,3.674,3.697,4.66,3.559,3.705,4.101,3.82,3.532,3.615,3.634,3.865,3.858,3.825,3.829,3.613,3.485,3.518,3.655,3.74,3.584,3.591,3.796,3.89,3.736,4.285,4.053,3.729,3.456,4.281,4.005,3.854,3.685,3.589,3.667,3.491,3.671,3.717,3.883,4.22,3.546,3.653,3.576
03/05/2022,4.18,3.618,3.447,3.977,5.074,3.594,3.972,3.961,3.894,3.674,3.697,4.66,3.559,3.705,4.101,3.82,3.532,3.615,3.634,3.865,3.858,3.825,3.829,3.613,3.485,3.518,3.655,3.74,3.584,3.591,3.796,3.89,3.736,4.285,4.053,3.729,3.456,4.281,4.005,3.854,3.685,3.589,3.667,3.491,3.671,3.717,3.883,4.22,3.546,3.653,3.576
